Title,Model,Brand,StoreSku,UPC,Retail
"=HYPERLINK(""https://www.homedepot.com/s/203541462"", ""Husky Mechanics Tool Set (268 Piece) - H268MTS"")",H268MTS,Husky,621433,203541462,199.00
"=HYPERLINK(""https://www.homedepot.com/s/203203976"", ""Husky Mechanics Tool Set (185 Piece) - H185MTSN"")",H185MTSN,Husky,340879,203203976,149.00
"=HYPERLINK(""https://www.homedepot.com/s/203541475"", ""Husky Mechanics Tool Set (134 Piece) - H134MTS"")",H134MTS,Husky,621898,203541475,79.97
